"","제목","내용","날짜","년","월","일","요일"
"2151","사랑하는 사람아(1981)의 정윤희를 보고","최근에도 드문드문 활동을 하는것 같은데 한번씩 볼때마다 반가운 마음을 듭니다 ^^* 이 영화의 명장면 엄마와 아이가 클레멘타인 노래를 부릅니다. 한적한 옛날어느...",2015-04-23,2015,4,23,"목"
"2152","2015년 11월 15일 오전 1시 56분에 저장한 글입니다.","영화의 첫부분과 마지막의 몬탁에서 서로를 만나는 장면. 조엘은 자기도 모르게 몬탁행 기차를 탔다고 했다. 그 또한 클레멘타인을 만나도록 그의 마음이 시킨 것이...",2015-11-15,2015,11,15,"일"
"2153","임혁필의 판타지쇼,임혁필의 섭외 & 섭외금액이 궁금하신가요?","드라마 '지성이면 감천'과 영화 '갈갈이 패밀리와 드라큐라' , 내사랑 싸가지', '클레멘타인', ' 좋지 아니한가' 또한 라디오 프로그램 'EBS 책 읽는 라디오 낭독...",2016-12-28,2016,12,28,"수"
"2154","신촌카페 - 전광수 커피하우스 핸드드립 커피, 아인슈페너","클레멘타인입니다. 지난 주말에 핸드드립 커피 마시고 온 신촌 카페 포스팅합니다.... 신촌 cgv가 바로 옆이니까 영화보시면서 커피 드실분들은 여기서 사가시면 좋을 듯...",2016-02-23,2016,2,23,"화"
"2155","워킹데드 시즌 1 그리고 엔딩","결말 영화 더 로드 도 떠올리게 됀다 아빠와 아들 그리고 아빠의 죽음으로 이제껏 약한존재이던 아들이 거친세상으로 나아가야만 하는 첫발걸음 클레멘타인도 리의...",2015-09-06,2015,9,6,"일"
"2156","어드벤처게임 워킹 데드 시즌3 오는 20일 발매한다","이번 워킹 데드 시즌3에서는 전작의 주인공 '클레멘타인'의 이야기가 이어지고... 15 어쌔신 크리드 게이머와 영화팬에게 기대를 받는 작, 신규 예고편 공개 (0)...",2016-12-19,2016,12,19,"월"
"2157","리뷰,약혐] 고무인간의 최후 [Bad taste] , 스포o","반지의 제왕 ..호빗..제가 제일 좋아하는 킹콩까지... 젊은이의 덜 익은 재치를 담아낸 영화 ""고무인간의 최후""! 클레멘타인 보다 재밌습니다! 명대사 "" 나는 다시 태어났다! """,2015-05-03,2015,5,3,"일"
"2158","[2016 결산] 비가 오고 땅이 단단해지는 시간","클레멘타인 (첼리스트) 은 중요한 오디션을 앞두곤 그 일은 뒤로한 채 사람들 앞에... 이도윤 감독의 좋은 친구들이란 국내영화가 생각났다 . 다 같이 잘 나눈 줄로만 안...",2016-12-28,2016,12,28,"수"
"2159","남영동 1985","하긴¸ 어느 날 갑자기 고문실로 끌려가 거짓을 종용당하는 일만큼 영화 같은 일이... 그가 휘파람으로 부르는 클레멘타인은 그 어떤 장송곡보다 을씨년스럽게...",2016-07-22,2016,7,22,"금"
"2160","PC// 워킹데드더게임 시즌2 - 최고의 스토리의 게임이...","시즌1의 주인공이었던 ""리""LEE가 구해준 소녀인 클레멘타인.. 전편에선 보살핌을... 또 워킹데드더게임 시즌1에서의 반가운 인물들도 조우하고지루하지 않게 영화를...",2016-04-09,2016,4,9,"토"
"2161","세상의 끝에서 커피 한잔","사랑 클레멘타인 늙은아비 혼자 두고 정녕 어디 갔느냐... .... 기억속의 아버지 아버지를 기다리던 그곳엔 이제 그녀를 기다리는 사람들이 있습니다.. 영화는 저 사진속의...",2016-01-12,2016,1,12,"화"
"2162","비긴어게인 2","당신이 <클레멘타인>이라는 영화를 아직 보지 않았다면, 아직까진 살아갈 이유가 충분한 것처럼. 이 영화도 그러하다. 아직 이 영화를 감상하지 않은 당신은 최고의...",2015-08-29,2015,8,29,"토"
"2163","이토 마리카 2015/10/07","주제가인 영화『마음이 외치고 싶어한다。』 아직 안 봤어요(T . T) 시사회가... 클레멘타인클레멘타인클레멘타인클레멘타인 まりか 마리카 나도 캡허그... ㅠㅠㅋ",2015-10-08,2015,10,8,"목"
"2164","[3컷 리뷰] 뎀(Them, 2006) - 누군가에겐 전쟁도 놀이","선생 클레멘타인과 소설가 루까의 보금자리는 도심에서 벗어나 한적한 숲 속에... 놀이 중 하나일 뿐이다. ▶ 본문에 사용된 이미지의 저작권은 영화 제작사에 있습니다.",2015-08-29,2015,8,29,"토"
"2165","[스쿨터치] 문화생활도 즐기고 경품도 받고","24 싸나이라면 의리로 꼭 봐야할 영화가 있죠 영웅:셀러멘더의 비밀 클레멘타인 푸헤헤헤헤헤ㅔ헿 웃음기빼고 대한민국 국민이라면 의리로 봐야하는 영화......",2016-06-16,2016,6,16,"목"
"2166","정말 지독한 오후","전 세계 40개국 판매와 영화화가 확정되었으리만큼 전 세계 독자들에게 인정받은... 라이벌인 클레멘타인, 그리고 파티를 주최했던 스트리퍼 출신의 티파니까지 특별한...",2016-12-27,2016,12,27,"화"
"2167","2015년 12월 10일 오후 3시 48분에 저장한 글입니다.","클레멘타인 조로리 영화 더빙판 다세포소녀",2015-12-10,2015,12,10,"목"
"2168","무수단","사실상 <클레멘타인>처럼 낚시라는걸 알 수 있다. 그런 것들을 빼고 보면 실질... 2016년 3월 24일 기준으로 관람객 평점 리뷰가 고작 39명이다(...) 영화를 보면 알겠지만...",2016-11-17,2016,11,17,"목"
"2169","리안 모리아티의 정말 지독한 오후 서평","리안 모리아티는 세계적인 베스트셀러 작가로 다수의 작품들이 영화 및 드라마로... 이어지는데요.클레멘타인과 샘, 에리카와 올리버, 에리카의 이웃 비드와...",2016-12-16,2016,12,16,"금"
"2170","[From.블로그씨] 최근 인상깊에 읽은 구절을 옮겨 적어본다면?","이 영화를 보고 암이 나았습니다. -<클레멘타인>을 본 어느 영화 감상평-",2016-01-05,2016,1,5,"화"
"2171","영화추천각","클레멘타인 ㄱㄱㄱ 개재밌다",2016-10-12,2016,10,12,"수"
"2172","우리말로 노래해 색인","슬픈 영화에 ※Sue Thompson 1961년 77 Oh My Darling Clementine 내 사랑 클레멘타인 ※김치경 78 The Green Leaves Of Summer 여름날의 푸른 잎 ※The...",2015-01-17,2015,1,17,"토"
"2173","미드 웨스트월드(Westworld) 4화. Dissonance Theory","과거의 영화를 리메이크한 것이지만, 이야기 자체가 워낙 흡입력있고... 연기하는 클레멘타인(Clementine)과 오른쪽의 탠디 뉴튼(Thandie Newton)이 연기하는 메이브...",2016-11-25,2016,11,25,"금"
"2174","CGV 설날 무비 패키지 + 발렌타인데이 커플 패키지, 그리고...","내 기준 대형사이다는 아니었지만 몰입도 최고인 영화였다. 케이트 윈슬렛이 다했잖아요... 존예보스...! 술 취해서 가발 썼을땐 클레멘타인 생각나고ㅠㅠ 드레스...",2016-02-12,2016,2,12,"금"
"2175","미국 서부 / LA 여행 - 그리피스 천문대, 헐리우드 사인","클레멘타인입니다! 이번 미국 서부여행, LA 여행은 그리피스 천문대/헐리우드... 이곳에서 영화를 자주 찍는데 제임스딘의 이유없는 반항 중 그리피스 천문대에서...",2016-07-23,2016,7,23,"토"
"2176","제레미 아이언스-잭 휴스턴,부자 버디 코미디 <언 액터...","스티브 클라크가 토마스 모펫과 공동으로 쓴 각본으로 연출을 맡는 이 영화는... 그는 자신의 파트너 클레멘타인에게 기울인 페미니시트이자 교수라고 합니다. 폴이...",2016-05-17,2016,5,17,"화"
"2177","리뷰)""정말 지독한 오후""ㅡ에는 바비큐를 드시면 안되요!","♪ (영화, '범죄와의 전쟁' 최민식 씨의 거룩한 명대사를 패러디함ㅋ) 음산한... 샘-클레멘타인(딸이 보시다시피 두명이 있죠♥)에게 난자를 기증받고 싶다고 말하거든요....",2016-10-31,2016,10,31,"월"
"2178","신간 소설 추천::리안모리아티의 정말 지독한 오후 정식 발간...","책을 읽고 있지만 영화를 보는 듯 영상을 머릿속에 그려낼 수 있어요, 조금은 날카롭게 느껴지는 인물들의 관계 하지만, 표면적으로는 친구. 그것도 클레멘타인과...",2016-11-17,2016,11,17,"목"
"2179","인천상륙작전 추성훈, 정준호, 김인권 무슨역할!!? 진세연...","클레멘타인?' 이있네요 ㅋㅋㅋ 아무튼 전쟁영화는 항상 흥미진진하고 재밌어서.. 기대가 아예 안되진 않네요 오히려 맥아더는 영화로 만들기엔 조금 공정성이 떨어지지...",2015-10-30,2015,10,30,"금"
"2180","인터스텔라 후기 써볼게요","ㅋㅋ 그리고 영화가 너무 긴거같아요 ㅎ 집중이안되서 자꾸 딴짓하면서 보게되네여 영화관에서 봣으면 정말 전 잤을꺼에요..ㅎ 최근에 클레멘타인 봣을떄도 정말...",2015-01-09,2015,1,9,"금"
"2181","에세이 추천 유선경의 문득, 묻다 두번째 이야기 인물, 일상편","프랑켄슈타인 이름은 많이 들어봤고 영화로도 꽤 많이 나온 것 같은데요... 히히 '클레멘타인의 아버지는 뭐하는 사람이었을가?' 부분인데요 금을 발견하기 위해...",2015-11-09,2015,11,9,"월"
"2182","재개봉","공드리 영화 좀 봤다며 연인에게 으스대는 속삭임과, 이 영화를 좋아한다는 가벼운... 나와, 그럼에도 불구하고 너무나 아름다운 조엘과 클레멘타인의 사랑..... 글 전체보기",2015-11-14,2015,11,14,"토"
"2183","6월11일 신보 안내","강, 클레멘타인, 사랑의 묘약중 남몰래 흐르는 눈물, 사계중 봄, G선상의... * < DVD 신보 안내 > 케이디 미디어 영화 <패딩턴> : 니콜 키드먼, 벤 위쇼 주연...",2015-06-10,2015,6,10,"수"
"2184","이수역 DVD방 Take5 신작 추천 9월 셋째주","뭔가 더 오락가락한 날씨에 지치기도 하고 이럴때는 좀 집에서 푹쉬면서 영화... 이건 좀 말이 안되는 평점인듯 왠지 ""클레멘타인"" 포스가.. 나만 보고 죽을 순 없지 ;;;...",2015-09-19,2015,9,19,"토"
"2185","나의 절친 악당들 - 솔직 후기 : 2분가지고 피같은 120분 아끼기...","한국영화계의 클레멘타인이라고 생각해도 될것 같네요 지극히 주관적이긴 하지만 지하철을 같이 타고 오는, 시사회를 같이 관람했던 분들의 말에 의거하면 영화보다가...",2015-06-23,2015,6,23,"화"
"2186","LA 여행 - 유니버셜 스튜디오 (1)","클레멘타인입니다. LA 여행때 갔던 유니버셜 스튜디오~ 시작합니다. 사진이 많아서... LA 여행, 유니버셜 스튜디오에서 제일 먼저 눈에 띈 자동차 영화 미이라에...",2016-07-19,2016,7,19,"화"
"2187","남지현",", 선덕여왕, 에덴의 동쪽, 우리들의 해피엔딩, 대왕세종, 로비스트 나의 사랑 클레멘타인, 마이러브, 사랑한다 말해줘 영화 : 화이, 오늘, 가족계획, 귀, 행복한...",2015-03-09,2015,3,9,"월"
"2188","문숙 인터뷰 후. 기억의 힘","<태양 닮은 소녀, 1974 감독: 이만희>저번 <영화 검열> 아이템 취재 과정에서 이만희... 인터뷰가 마무리 될 즈음 그녀가 클레멘타인 곡에 개사를 한 노래를 불러 주었다....",2016-02-26,2016,2,26,"금"
"2189","보라카이 스쿠버다이빙, 스노클링 - 여행 액티비티!","클레멘타인이에요. 다들 즐거운 금요일 보내고 계시는지요! 보라카이 여행 포스팅... 영화같은거 보면 다이버들이 물에 들어갔을때 꾸룩 꾸루룩 쉭~~하고 숨쉬는 소리가...",2016-10-28,2016,10,28,"금"
"2190","5월 13일 투데이 덧글","db=160&page=9&no=256728 벌써 약 10년이 된 영화라니..믿기지 않네요................... 흥 : /chalkadak/view?db=160&page=8&no=256786 클레멘타인...",2016-05-13,2016,5,13,"금"
"2191","[언더월드5] 언더월드5탄 제목은 언더월드 5:블러드...","공포액션영화 언더월드 5 제목이 언더월드 5:블러드 워 (Underworld: Blood Wars) 로... 배우 클레멘타인 니콜슨이 '비다르'의 딸이자 여전사 '레나'역 , <미드 다빈치 디몬스...",2016-04-14,2016,4,14,"목"
"2192","2010년 8월부터의 메모(#2674~2704)","미완의 인생 2702. 영화 성냥팔이 소녀의 재림 똥파리 똥개 클레멘타인 2703. 가장 한국적이고 가장 나답고 2704. 내가 좋아하는 것 중 소비자층이 넓은 것.",2016-10-28,2016,10,28,"금"
"2193","골든 라즈베리 최악의 감독상 수상 ""스티븐 시걸"" 과 ""언더 시즈...","액션영화의 대부로 군림한 ""스티븐 시걸"" 하지만 자기 부인을 특유의 가라데로 패 버려 체포되기도 하고 희대의 망작 ""클레멘타인"" 에 출연하기도 하고 가수 데뷔도...",2015-07-19,2015,7,19,"일"
"2194","무서운집, 한국형 웰메이드(?) B급 무비","(물론 클레멘타인만큼은 이 계열에선 상징적인 영화이다 보니 소수 매니아층이 존재한다.) 왓챠 예상별점은 0.2에서 1.2사이. 이것 말고도 네다섯가지의 파형이 있지만...",2015-08-17,2015,8,17,"월"
"2195","형편 없는 영화, 세 편 추천요~","클레멘타인!!! 미스트!!!!! 리얼술래잡기!!!!!",2015-12-10,2015,12,10,"목"
"2196","곧바로 나아가라","네이버 Db를 혹시나 해서 찾아 봤더니, 무슨 '클레멘타인' 류나 되는 듯 산만한 분위기다. 속지 않기를 바란다. 진짜 괜찮게 만들어진 영화다. 영화는 누가 봐도 단박에...",2015-08-31,2015,8,31,"월"
"2197","미국은 세계를 어떻게 훔쳤는가.....강준만 지음","사랑 클레멘타인은 어디로 갔나? ‘골드러시’가 바꾼 미국의 풍경 철도는 어떻게... 사랑 클레멘타인은 어디로 갔나? ‘골드러시’가 바꾼 미국의 풍경 철도는 어떻게...",2015-10-31,2015,10,31,"토"
"2198","(쌍욕주의) 섬. 사라진 사람들","이태원 살인사건 다음으로 내 인생에서 이렇게 쓰레기 같은 영화는 네가 처음이야..믿고 안보는 너는 내 클레멘타인..♥ 이런 좋은 소재를 가지고 이렇게 똥같은 영화를...",2016-03-08,2016,3,8,"화"
"2199","정말 지독한 오후","필름에서 영화 판권을 계약했으며, 『기억을 잃어버린 앨리스』는 제니퍼... 클레멘타인이 강연을 하는데 에리카가 잠시 왔다가 도중에 돌아간다. '그 날 일'이...",2016-12-18,2016,12,18,"일"
"2200","현장토크쇼 택시 예고> 427회 이동준 박준형 편 New 5월 10일","인생의 큰 쓰나미를 겪은 두 전설!이동준에게 수십억의 빚을 안겨준 인생 역작 <클레멘타인> 배우로 전성기를 달리고 있던 그가 갑자기 영화 제작에 뛰어든 이유는?...",2016-05-10,2016,5,10,"화"
"2201","투명인간","내사랑아 내사랑아 나의 사랑 클레멘타인 늙은 아비 혼자 두고 영영 어디 갔느냐. 쓸쓸해지는 곡조가 책을 덮고도 남아 있었다. 딸이 보면 좋을 것 같은 책이나 영화를...",2016-12-05,2016,12,5,"월"
"2202","블로그 욕 댓글, 악플, 모욕죄 고소 진행했습니다.","클레멘타인입니다. 블로그에 욕설 들어간 댓글, 악플 단 사람 모욕죄로 고소... 제가 직접 보고 온 영화 후기 및 쿠키영상이 있다는 내용의 포스팅에 올라온 댓글입니다....",2016-04-22,2016,4,22,"금"
"2203","27 프리퀀시 (Frequency, 2000)","소통 영화 <프리퀀시>이다. I'm still here! Chief. +한국판 포스터 만든 사람 반성해야 할 듯. 이 포스터는 거의 <클레멘타인> 급 ++30년 전의 나의 아버지와 통신할 수 있다면...",2016-01-25,2016,1,25,"월"
"2204","무서운집 (2015) Scary House","3세기의 위기 직접 보고나니 기원전 2014년이래도 할말이 없는 퀄리티 이제 한국에서도 세계적으로 자랑할 수 있는 못 만든 영화가 나왔다.클레멘타인은? - 네이버의 유저...",2016-01-24,2016,1,24,"일"
"2205","[블로그씨]자 이 영화를 보아라","글쎄요? 저는 일단 ""클레멘타인""추천합니다",2015-01-29,2015,1,29,"목"
"2206","PC// 워킹데드 더 게임 시즌1 - 몰입되는 이야기의 최고의...","매년 전세계 게임들에 대해 영화제처럼 올해의 게임이라는 시상을 하는데..이... 그리고 좀비들을 피해 도망치다가홀로 숨어지내던 클레멘타인이라는 여자 꼬마 아이를...",2016-03-07,2016,3,7,"월"
"2207","포크가요들....","아니야(조경수) 4.클레멘타인(바니걸즈) 5.이별의 노래(문정선) 6.고향생각(홍민)... 마지막 노래(김세환) 4.영화를 만나(4월과 5월) 5.그애와 나랑은(송창식) 6.비의...",2015-02-20,2015,2,20,"금"
"2208","사랑에 미치다","- 영화 카사블랑카 삽입곡 '시간이 가면(As Times Goes By)'중에서 - Hearts full of passion... 찰스 스튜어트 파넬과 오셰아 윈스턴 처칠과 클레멘타인 처칠 안젤라 데이비스와...",2015-06-23,2015,6,23,"화"
"2209","처음에는 네티즌들의 장난인줄 알았습니다.","클레멘타인 감독 김두영 출연 이동준, 김혜리, 스티븐 시걸 제작 2004 , 100분 평점 왜 이렇게 이 영화를 보신분들은... 할말을 잃으시는지..그리고 추천해 주시는 것 인지......",2015-11-13,2015,11,13,"금"
"2210","엄지영 - Off Line 1집","프렌즈 ""엄지"" 영화 ""누구에게나 비밀은 있다"" ,""바람의 전설"", ""클레멘타인"", OST외 다수 소프트맥스 마그나 카르타PC/PS2 ""Rain"" 여성전용RPG ""루넨시아"" 영웅 온라인...",2015-12-01,2015,12,1,"화"
"2211","[참닥터와 함께하는 STAR] 으리으리한 의리남 김보성님","클레멘타인 / 영웅: 셀레멘더의 비밀 / 보스상륙작전 / 깡패수업 / 투캅스 외에... 등의 영화 때문에 거친 상남자의 이미지였다면 이제는 으리의 아이콘으로 떠오르며...",2015-09-08,2015,9,8,"화"
"2212","연극 백년 바람의 동료들","혼란은 영화 GO, 박치기 등을 통하여 국내에도 널리 알려진 바 있다. 작품 속 바람... 사랑 클레멘타인 등 한국가요가 다수 삽입되었고 이들 가요는 배우들이 한국어로...",2016-03-27,2016,3,27,"일"
"2213","GOTY 74개를 수상한 스팀게임 더 워킹데드 더 게임 소개","뗀채 영화나 드라마를 관람하듯 지켜보는 경우가 많습니다. '뭔가 바쁘게... 전화기에 저장된 음성사서함을 연결해보니 클레멘타인이라는 아이의 어머니가 메세지를...",2015-12-02,2015,12,2,"수"
"2214","Everybody Wants Him Dead, <Q>","악이 선이 되고, 선이 악이 된다는 그들의 추하고 악한 리그 <Q> 저는 공포영화... 송출 중 내가 클레멘타인을 부르면 네 딸은 죽는다. 그 과정 중 PD는 교도소장의...",2016-05-31,2016,5,31,"화"
"2215","0920 clementine","클레멘타인 감독 김두영 출연 이동준, 김혜리, 스티븐 시걸, 은서우 개봉 2004 대한민국, 미국 리뷰보기 감동의 밤.. 암세포도 암에걸려 치료된다는 전설의 영화.....",2016-09-20,2016,9,20,"화"
"2216","나의 선택으로 게임을 이끌어 가라! '워킹데드 시즌 1'","(바로 이 아이입니다.) 이름은 클레멘타인,그렇게 둘은 같이 여행을 떠나게 됩니다.... 마치 정말 드라마나 영화를 보는 듯한 스토리와 나만의 엔딩과 스토리 진행을 만들...",2016-02-29,2016,2,29,"월"
"2217","인천상륙작전, 몰랐던 영웅들!","ㅋㅋㅋㅋㅋㅋ 저도 처음에 네이버영화 평점을보고 사실 기대를 안했어요 제 2의 클레멘타인이라느니.. 뭐 아무튼 별로라는 얘기를 많이 들어서 그냥 그러려니- 했는데...",2016-08-01,2016,8,1,"월"
"2218","워킹데드 미숀-에피소드1 클리어","음악 퀄도 좋고 마치 007 영화의 오프닝 처럼 미려한 연출이 돋보인다 본인이 무척좋아하는, telltale 게임 회사의 워킹데드 시리즈중, 여주인공 '클레멘타인'과는...",2016-12-28,2016,12,28,"수"
"2219","영화?","클레멘타인 으리! 는 뺑끼고 짱구 극장판 9기 어른제국의 역습",2015-01-29,2015,1,29,"목"
"2220","[정보] 병나발을 좀 더 체계적으로 불어보자 1-1탄. Ratebeer","영화 한 편 볼 때조차 검색 사이트에 한 번 쳐보고 평점을 보지 않나(간혹 클레멘타인같은 경우도 있으니 다 믿을만한 건 아니지만). 맥주 앞에서 망설이는...",2015-08-24,2015,8,24,"월"
"2221","무서운 집.. 보는게 더 무서울둣 ㅋㅋ","클레멘타인? 7광구? 다 상대도 안 된다. 지금껏 대한민국 영화사에 길이 남을 것이다. 영화라는 기준을, 21세기, 2015년, 영화라는 창작물의 개념을 모조리...",2016-09-12,2016,9,12,"월"
"2222","'액트맨', 작기에 편하다","부녀 관계가 영화 내내 집중조명되고 행크나 스콧의 행동에서 주요한 동기를 차지한다. 가족의 힘이 대단하다는 거를 보여준다. 하지만 달리보자면 클레멘타인처럼 아빠...",2015-10-10,2015,10,10,"토"
"2223","라스트 위치 헌터(The Last Witch Hunter, 2015)","과거 자신의 딸과 아내를 떠올리는데....그 장면이 마치....나에게는 클레멘타인과 오버랩이 되어 속으로 엄청 웃었다 ㅋㅋㅋㅋ 그래도 재밌는 킬링타임용 영화인듯.",2016-01-04,2016,1,4,"월"
"2224","전북현대 응원가 모음","원곡은 영화 글래디에이터의 OST중 하나인 Hans Zimmer의 The Battle이라는 곡이다. 오늘... 클레멘타인 - 멜로디나 가사가 정말 쉽기때문에 장내아나운서가 전관중의...",2015-02-27,2015,2,27,"금"
"2225","알 이즈 웰! 세얼간이 리뷰","오히려 이 영화는 대놓고 감성팔이를 할 만한 영화인데도 하지 않습니다. 오히려 관객이 그것을 더 찾고 싶게 만들죠. 이걸 잘못 사용한 예가 클레멘타인.. 늦게...",2016-05-14,2016,5,14,"토"
"2226","곡성 (The Wailing)","뭐 이런 영화가 다있어? 티켓값을 날렸다고 생각하고 집으로 돌아와서 태양의 후예를 보며 눈 정화를 한다. (심지어 어떤분은 [클레멘타인]과 비교하기도 하더라...) 나는...",2016-06-05,2016,6,5,"일"
"2227","카곧제","클레멘타인. 이 영화를 보지 않았다면, 아직 영화를 보지 못한것이다. 인터스텔라는 아직 클레멘타인 따라오려면 멀었다.",2015-01-29,2015,1,29,"목"
"2228","(305) 친구의 이별 (Nita Juanita)","그러니까 클레멘타인 (Clementine)이란 노래가 만들어진 비슷한 시기에... 이처럼 남성 합창단의 노래가 제격인데, 영화 <초원의 빛>에서도...",2015-01-27,2015,1,27,"화"
"2229","엄청난 혹평과 비난을 불고하고 어쩔 수 없이 봤는데... 헐 대박 !","스티븐 시걸 나오는 '클레멘타인' 따위와 제발 비교하지 마라. 그런 영화들 보다, 스토리 탄탄하고, 연기 좋고, CG 좋고, 컨텐츠 확실한 영화다.리암 니슨의 명연기를...",2016-07-28,2016,7,28,"목"
"2230","게리 올드만,윈스턴 처칠 전기 드라마 <다키스트 아워> 첫...","안소니 맥카튼이 각본을 맡는 이 영화는 국가의 자유,해방,이상을 위해 싸우는... 처칠의 아내 클레멘타인 역을 맡으며 내년 11월 24일 개봉합니다. Source:The Playlist",2016-11-05,2016,11,5,"토"
"2231","[오스트리아 여행] 뮌헨에서 잘츠부르크/잘츠부르크 대성당...","아이팟, 사과칩, 오렌지와 귤의 중간 맛인 클레멘타인, 땅콩 혹은 캐슈넛 그리고... 성 안을 걸으면서 애니메이션이나 영화에서 봤던성 안의 생활을 상상해봤다....",2015-05-12,2015,5,12,"화"
"2232","24. 잊을 수 없는 게임 속 명장면 TOP :: 2편","책이라면 마음에 드는 문장, 영화라면 기억에 남는 장면이 있을 수 있죠. 사람에... 모종의 사정으로 부모와 떨어진 클레멘타인은 탈옥수인 리를 만나 그와...",2016-11-15,2016,11,15,"화"
"2233","CGV 도전! 탈출 영퀴왕 후기-2","영화퀴즈 X 방탈출이라는 콜라보레이션 아이디어도 상당히 참신했다. STAGE1이 열릴... 명작 '클레멘타인'이었다 ㅋㅋㅋㅋ 센스터짐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어찌어찌...",2016-08-29,2016,8,29,"월"
"2234","매드맥스: 분노의 도로","되서 영화를 보고 얼른얼른 포스팅하지 않은 티가 난다. 그렇다 기억이 가물가물해지고있다. 그 족장인가 걔이름뭐니 그 할아버지가 좋아하던 1순위 모델 클레멘타인...",2015-06-07,2015,6,7,"일"
"2235","[스팀게임] 당신을 위한 스팀 게임 추천 ver2.0","*이름이 클레멘타인인 것부터 필수 게임 장점 : 스토리, 게임성, 선택지&통계 단점 : 가끔 멘탈을 파괴하는 선택의 순간, 드라마의 느낌 구매 : 시즌1, 시즌2 사시면...",2016-06-23,2016,6,23,"목"
"2236","호러영화계의 신선한 충격수준이 아니다","무서운 집 감독 양병간 출연 구윤희 제작 2014 , 98분 평점 이 영화를 보기전엔 나는 엑소시스트와 클레멘타인을 뛰어넘는 공포를 느껴본 적이없다.존재해서 안되는...",2015-08-06,2015,8,6,"목"
"2237","[BP/MOVIE] 서울역으로 완성될 '부산행'","엄마없는 하늘아래, 클레멘타인이 살짝 연상되는 구도... 이런 부분은 아쉬웠다. 영화 내에서 발병 원인이나 좀비에 대한 설명이 부족하다는 생각을 했는데...",2016-07-18,2016,7,18,"월"
"2238","7광구","4요일, 성냥팔이 소녀의 재림, 창공으로, 라스트 갓파더, 맨데이트, 아기와 나, 주글래 살래, 클레멘타인, D-WAR, 다세포 소녀, 조선미녀삼총사와 함께 영화계와...",2016-08-24,2016,8,24,"수"
"2239","'시발, 놈' 백승기 감독, '인천상륙작전' 패러디 도전해볼까요?","'클레멘타인' (2004년)감독 - 김두영 / 출연 - 이동준, 김혜리, 스티븐 시걸 등ㄴ 롤모델같은 영화다. 보고 배울 점이 많다. 한 장면 한 장면 패러디해서 따라 찍다 보면...",2016-10-11,2016,10,11,"화"
"2240","그 시절, 우리가 좋아했던 소녀(2011)","소개할 영화도 그런 순수하고 풋풋하고 처음이기에 서투른 첫사랑에 대한 이야기... 명작 클레멘타인 같은 평점 아니고요 ㄹㅇ 괜찮은 작품입니다 줄거리는 왼쪽부터...",2016-03-31,2016,3,31,"목"
"2241","이거 영 불안 불안하다 이거...","포스터만보니 어째 사나이의 우정을 그리다 서로 깡패되서 이간질하고 다 뒤지는풍의 영화 같음 뭐 나와봐야 알겠지만 제2의 클레멘타인 가...",2016-05-17,2016,5,17,"화"
"2242","김보성 위키 백과사전","[2] 작품[편집] 영화[편집] 연도 제목 배역 2014년 《캡틴 하록》 야타란 역 2013년 《영웅@: 샐러멘더의 비밀》 장현우 역 2004년 《클레멘타인》...",2015-01-04,2015,1,4,"일"
"2243","2015 01 29 「월터의 상상은 현실이 된다」","숀 오코넬과 월터 어머니가 연락하고 있음을 보여주는 장치로 사용된 '클레멘타인 케이크'에서 느껴지는 감독의 디테일이 좋았다. 잘 완성된 영화를 본 느낌....",2015-09-07,2015,9,7,"월"
"2244","2015년 1월 29일 오후 5시 28분에 저장한 글입니다.","클레멘타인. 인류 최고의 힐링영화. 그 어떤 치료제도 이 영화 한 편보다 못함 암이 낫는다는 전설의 영화 안보면 후회함",2015-01-29,2015,1,29,"목"
"2245","드디어 한달","벤자민 클레멘타인 자켓이 멋있다. 전기장판 위에서 시그널 보면서 하리보 먹는거... 나는 이 영화에 나오는 마츠다류헤이 성격을 좋아하는 것 같다. 약간의 오덕기질과...",2016-03-03,2016,3,3,"목"
"2246","이동준-연예계 싸움꾼 순위","https://www.youtube.com/watch?v=GMKqXTWwTH4 (동영상이 재생되지 않아 링크 검) 이동준은 한국영화중 최고 걸작이라 평가받는 '클레멘타인'의 주연으로서 현재는 엄연히...",2015-05-26,2015,5,26,"화"
"2247","언터쳐블 평점높은데 믿고봐도될까?","당한 다른 영화들은 참 ㅋㅋ 낚을려고 했다면 제대로 낚였습니다 영웅과 클레멘타인 ㅋㅋ 긴급조치 19호 성냥팔이재림같은 극악무도한 영화 ㅋ (절대보지마세요 ㅋㅋㅋ)",2015-04-16,2015,4,16,"목"
"2248","요즘 이런저런 이야기","-_- 히어로물중에서 매직렌턴 보다 낮은점수를 받은 영화가 있었나 싶은...-_-;;;; 오히려 이정도로 점수가 낮으면 호기심이 생기기 시작. (클레멘타인보다는...",2015-08-21,2015,8,21,"금"
"2249","올리버 플랫,스릴러 <셧 인> 출연","쿠비트,클레멘타인 포이다츠가 나오미 왓츠와 함께 몬트리올에서 촬영을 시작한 유로파와 라바 베어 픽쳐스의 스릴러 <셧 인>에 출연합니다. 이 영화는 2016년 2월...",2015-03-19,2015,3,19,"목"
