"","제목","내용","날짜","년","월","일","요일"
"42","표도르와 함께 영화찍는 김보성","김보성은 2004년 클레멘타인 이후 4년만의 영화출연입니다. 클레멘타인은 우정출연이였던걸 감안한다면 2003년 손영국 감독의 최후의만찬이후 5년만에 영화출연...",2008-10-23,2008,10,23,"목"
"43","들어는 봤는가 클레멘타인.......","최고의 영화가 무엇이냐를 놓고 한참 열띤 논쟁이 한창이던 중, 한 사내의 질문 하나에 모두가 숙연해질 수 밖에 없었다는 그 영화... '들어는 봤는가, 클레멘타인.............'",2009-03-16,2009,3,16,"월"
"44","클레멘타인","한국영화 저력을 다시한번 보여준 클레멘타인 정말 오스카 베를린 영화제에 반듯이 가져가서 한국이 영화 강국이란것을 세상 모든 사람들에게 말하고 싶다 대한 민국...",2009-07-27,2009,7,27,"월"
"45","클레멘타인","이름도 처음들어보는 영화를 dvd방에 구입을 하러갔다. ""저..클레멘타인...이라는.."" 채 말이 끊나기도 전에 dvd방 주인은 이리 따라오라며 진열대가 아닌 지하 창고로...",2009-08-09,2009,8,9,"일"
"46","클레멘타인",""" 클레멘타인은 한국 영화사에 길이 남을 명작으로 내용과 연기 뿐 아니라 촬영과 조명, 구성 등 기술적인 면에서 아직도 따라갈 만한 영화가 없다는 평이 있을 정도로...",2006-10-31,2006,10,31,"화"
"47","딸 클레멘타인 안고 가는 에단 호크 <헐리웃연예인2세>","딸 클레멘타인 안고 가는 에단 호크 <헐리웃연예인2세> 헐리웃의 멋진 영화배우 에단 호크와 그의 딸 클레멘타인 이에요~! 너무 예쁘죠 >ㅅ< 에단 호크. 아빠라서 그런지...",2010-06-28,2010,6,28,"월"
"48","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 김세윤 기자 - 아무리 태권도 영화라지만 태권도인들만 봐서는 흥행이 안될 텐데. 이동준 - 물론 태권도인들만을 위한...",2006-10-17,2006,10,17,"화"
"49","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 <클레멘타인2> 제작발표회가... ★기자 : 전편은 마치 70,80년대 영화를 보는 것 같다는 평가가 있었는데? 이동준...",2006-09-20,2006,9,20,"수"
"50","클레멘타인","이번이 처음이라 스티븐 시걸의 <클레멘타인> 출연은 여러모로 그 의미가 크다고 할 수 있다. 이 영화가 한국 영화의 세계화에 크나큰 전환점을 만들고 있는 것이다....",2007-07-25,2007,7,25,"수"
"51","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 이영화는 주신왕이 나라를 만드신 이래로 최고의 평을 받아야 하는 영화다.. 포스터에 나오는 ""아빠 일어나~"" 만 보고...",2007-11-19,2007,11,19,"월"
"52","클레멘타인","클레멘타인 감독 김두영 제작 2004 null 평점 한동안 내 핸드폰 벨소리는 ""아빠!!... 이렇게 냉소적이였던 나에게 이영화는 세상을 긍정의눈으로 보게 해주었다. 한참을...",2008-02-21,2008,2,21,"목"
"53","[다락방리뷰]추억의 액션스타 시걸형, 피스톨 윕트...","2004년 우리 나라 영화 <클레멘타인>에서 태권도 유단자인 이동준과 대결을 벌이는 이종격투기 선수 잭 밀러 역으로 출연하여 많은 관심을 끌었다. 영화 <인투 더 썬...",2008-09-22,2008,9,22,"월"
"54","검은 이면","2003년 한국영화 『클레멘타인』의 제작부로서 첫 작품을 시작했으며, 그 후 군에 입대, 제대 후 각종 CF 및 뮤직비디오(비, SG워너비, 씨야, 옥주현 등) 그리고 제작이...",2009-07-02,2009,7,2,"목"
"55","2004년 영화 (펌)","(2004년 영화) 클레멘타인 (영화) 클로저 킬 빌 ㅌ 태극기 휘날리며 터미널 (영화) 투모로우 트로이 (영화) 팀 아메리카: 세계 경찰 ㅍ 패션 오브 크라이스트 페이스...",2010-03-01,2010,3,1,"월"
"56","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 2000년도에 나왔지만 미래를 앞서가는 영화같았습니다. 일단 이점에서 점수를 높게 주고 싶네요 이영화는 극과극을...",2006-11-06,2006,11,6,"월"
"57","클레멘타인","지금 바로 당신을 기다린 영화가 있습니다... 클레멘 타인........ 아빠... 아빠... 일어나... 아빠 일어나....ㅜㅜ 후회하지 않습니다. ps~ 제 친구좀 찾아주세요... 영화를...",2008-09-19,2008,9,19,"금"
"58","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국,미국 평점 스티븐 시걸이 한국 영화에? 큰 호기심을 가지고 본영화지만.. 중간에 보기를 포기한.. 영화다..",2006-08-28,2006,8,28,"월"
"59","[DVD]클레멘타인 (dts)","[DVD]클레멘타인 (dts) http://www.kimchidvd.com/kr/good/goods.jsp?good_seq=5813 제 작 사 : Daum Media 출 시 일 : 2004-06-23 제 작 년 도 :2004 장르: dts/한국영화/드라마/액션 감독...",2010-12-03,2010,12,3,"금"
"60","스티븐 시걸 & 파퀴아오","열광적인 지지를 받기도 하였지만 나이가 들수록 몸관리와 연기력에 한계를 보이며 한때 한국 영화 ""클레멘타인""에 출연하여 영화를 쪽박나게 만들기도 하였다.",2010-02-06,2010,2,6,"토"
"61","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 정말 최고의 영화였습니다. 전 우연히 방송을 해서 봤는데요. 보고나서 얼른 소장해야겠다는 생각이 들었습니다....",2007-06-17,2007,6,17,"일"
"62","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 니들 땜시 지금 이 영화 구하러간다~ 긴급조치19호 재밌는 영화 저런 영화를 잼있게 볼 정도면 이 영화도 양호하겠지...",2006-10-16,2006,10,16,"월"
"63","더더옥 재미없는 펀 사진 몇 개","중국에선 불가능한 것이 없다 S 교수님 자음에 맞게 단어를 완성하는 모 방송프로그램에서 채연의 무의식적인 단어선택 영화 클레멘타인 - 개봉 전 영화 클레멘타인...",2007-06-07,2007,6,7,"목"
"64","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 영화 매니아라서 주말마다 한편씩 본다. 하지만 한국영화는 잘 안봤다 그런데 하도 추천해주길래 마땅히 볼만한...",2007-03-10,2007,3,10,"토"
"65","클레멘타인 - 이은주","아빠에게 ‘클레멘타인’을 불러 달라고 했단다. 많은 사랑을 받고 있던 젊은 영화배우가 어떤 말 못할 짐을 지고 있었길래..너무 안타깝고 슬픈 일이다.. 경기도...",2006-02-22,2006,2,22,"수"
"66","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 클레멘타인으로 여러분들에게... 이번 영화는 보름이면 대 만들수 있으므로 1월 30일날 보도록 하죠 그떄까지...",2006-01-04,2006,1,4,"수"
"67","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 혹시 속는거 아닐까 하는 기분으로~ DVD 판 샀는데.. 영화 상당히 잘되어있네여~ 한국영화를 30년 진전 시킨 영화라고...",2006-06-15,2006,6,15,"목"
"68","클레멘타인","클레멘타인 감독 김두영 제작 2004 한국, 미국 평점 한국영화의 한 획을 그은... 명작.. 다른 사람들의 영화평은...믿지마시구 직접보세요.. 그리고 이 영화에...",2006-01-03,2006,1,3,"화"
